Sno,Date,Headline,Covid,Sentiment,Description,Image,Source
0,2020-04-29,"Coronavirus cases reach 2,438 in Rajasthan; 814 patients recover",1,0,"Rajasthan on Wednesday reported 74 new coronavirus cases, taking the total number of cases in the state to 2,438. All three deaths reported in the state today were from Jaipur, taking the death toll to 55. Notably, 814 patients have recovered in the state and 592 were discharged. Jaipur is the worst-hit district with 878 cases and 30 deaths.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588180677405_112.jpg,http://www.rajswasthya.nic.in/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
1,2020-04-29,"Coronavirus cases in Delhi surge to 3,439 after 125 new cases reported today",1,0,"The total number of coronavirus cases in Delhi has surged to 3,439 after 125 new cases were reported today. Further, the death toll rose to 56 after two new deaths were reported today. The number of active cases in Delhi stands at 2,291, while 1,092 COVID-19 patients have recovered in the national capital so far.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588181882672_564.jpg,https://twitter.com/shemin_joy/status/1255548935550070786?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
2,2020-04-30,"Anguished, I'll always recall our interactions: PM Modi on Rishi Kapoor's death",0,1,"Condoling the demise of actor Rishi Kapoor, PM Narendra Modi tweeted, ""Multifaceted, endearing and lively...this was Rishi Kapoor Ji. He was a powerhouse of talent."" He added, ""I will always recall our interactions, even on social media. He was passionate about films and India's progress."" He further wrote, ""Anguished by his demise. Condolences to his family and fans. Om Shanti.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588225689192_672.jpg,https://twitter.com/narendramodi/status/1255733640299835392?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
3,2020-04-30,It's a terrible week for Indian cinema: Rahul Gandhi on Rishi Kapoor's demise,0,0,"Congress leader Rahul Gandhi condoled Rishi Kapoor's demise and tweeted, ""This is a terrible week for Indian cinema, with the passing of another legend."" ""He carved a special place in the hearts of his fans with...his performances,"" Defence Minister Rajnath Singh tweeted on Kapoor's demise. ""A great loss to the world of creativity,"" Union Minister Ravi Shankar Prasad said.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588225858917_208.jpg,https://zeenews.india.com/india/politicians-mourn-death-of-versatile-wonderful-actor-rishi-kapoor-2280092.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
4,2020-04-30,Delhi Police perform 'parikrama' of AIIMS to thank medical staff,1,1,"As a sign of respect for healthcare professionals fighting COVID-19, the Delhi Police on Wednesday undertook a 'parikrama' of the All India Institute of Medical Sciences (AIIMS) in New Delhi. The convoy which was led by female personnel had as many as 51 'COVID Patrol' motorcycles of South Delhi District Police. There are over 33,000 coronavirus cases in India.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588215561543_799.jpg,https://zeenews.india.com/india/delhi-police-perform-parikarma-of-aiims-to-pay-respect-to-coronavirus-covid-19-warriors-2280065.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
5,2020-04-30,MP government offices resume work with 30% staff,1,1,"Madhya Pradesh Chief Minister Shivraj Singh Chouhan has announced that state government offices, including the secretariat, will resume work with 30% staff from Thursday. Stating that the Madhya Pradesh government has started normal economic activities in green zone districts, Chouhan added, ""We are gradually controlling the situation with people's cooperation."" ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588216205575_634.jpg,https://www.financialexpress.com/india-news/madhya-pradesh-government-offices-to-resume-work-with-30-staff-from-thursday/1943559/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6,2020-04-30,"Over 6k labourers, students brought back to J&K in past 4 days amid lockdown",1,1,"J&K administration has brought back 6,355 labourers and students of the Union Territory in the past four days who were stranded in various parts of the country amid lockdown imposed to control coronavirus spread. ""As many as 3,022 people of J&K have been evacuated from various states during the past 24 hours,"" Ajeet Sahu, Commissioner Secretary, Jal Shakti Department added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221280041_655.jpg,https://www.financialexpress.com/india-news/over-6000-labourers-students-brought-back-to-jk-in-past-4-days-amid-coronavirus-lockdown/1943355/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7,2020-04-30,"127 new COVID-19 cases in Pune district in 12 hours, total exceeds 1,700",1,0,"As many as 127 new cases of coronavirus have been reported in Pune district in the last 12 hours, taking the total number of cases in the district to 1,722, District Health Officer Bhagwan Pawar has stated. Meanwhile, the total number of COVID-19 cases in Maharashtra have neared 10,000, and over 400 patients have passed away.  ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588222226673_727.jpg,https://twitter.com/ANI/status/1255711468579958788?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
8,2020-04-30,Journalist among 10 new COVID-19 cases reported in Kerala,1,0,"Kerala Chief Minister Pinarayi Vijayan on Wednesday said that a television journalist and three healthcare workers were among the ten people who tested positive for COVID-19 in Kerala. Of the new cases, six were reported from Kollam, two each from Kasargod and Thiruvananthapuram. There are 495 coronavirus cases in the state.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588227594591_347.jpg,https://www.newindianexpress.com/states/kerala/2020/apr/29/journalist-among-ten-new-covid-19-cases-reported-in-kerala-2136978.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
9,2020-04-30,"Maha's Nashik district reports 71 new cases, including 6 police personnel",1,0,"Coronavirus cases in the Nashik district of Maharashtra have risen to 276 after 71 people tested positive, officials have stated. The fresh cases, most of which are from Malegaon, included six police personnel and three children aged three months, 5 years and 11 years respectively. The death toll in Nashik district stands at 12.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588230088617_628.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
