,headline,entity,majority_label
0,Russia and Poland Feud Over Putin Remarks on World War II,Putin,neg
1,Trump Moves to Lift Visa Restrictions on Polish Citizens Who Visit U.S.,Trump,neutr
2,Trump-Backed U.S.-British Trade Deal Faces Hurdles,Trump,neutr
3,Trump Praises Lame-Duck U.K. Leader Theresa May,Trump,neutr
4,Trump’s Arrival in London Brings Controversy but Little Surprise,Trump,neg
5,U.S. Keeps Sanctions at the Ready Even as Trump Courts Hungarian Leader,Trump,neutr
6,New Trump Rule Will Allow Tariffs Against Currency Manipulation,Trump,neutr
7,Trump Steers Clear of War Footing Toward Iran,Trump,neutr
8,Trump Says Son of Osama bin Laden Killed in U.S. Operation,Trump,neutr
9,"Trump, Awaiting Egyptian Counterpart at Summit, Called Out for ‘My Favorite Dictator’",Trump,neg
10,"Border Patrol Gets New Leader, Its Fourth Under Trump",Trump,neg
11,Veterans Differ With Trump Over Injuries From Iran Missile Attack,Trump,neutr
12,"How Bernie Sanders Stumbled, Then Steadied His Presidential Campaign",Sanders,pos
13,Trump Says He Will Sign Phase-One Trade Deal With China on Jan. 15,Trump,neutr
14,Trade-Court Lawsuits Take On Trump’s Tariff Campaign,Trump,neg
15,"In Virginia, Democrats Get Ready to Rule the Roost",Democrats,unk
16,Trump Administration Awards Migrant Detention Contracts Days Before California Would Ban Them,Trump,pos
17,Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,Trump,neg
18,House Democrats May Vote on Trump Impeachment Charges This Week,Democrats,neutr
19,"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,neutr
20,Pro-Biden super PAC warns of 'doomsday scenario' for Democrats,Democrats,neg
21,"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",Trump,neg
22,"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",Biden,neg
23,Trump campaign dismisses claim that the president is 'scared' of Bernie Sanders,Sanders,neutr
24,Dagen McDowell questions why 2020 rivals aren't going after Pete Buttigieg's failures as mayor,Buttigieg,neg
25,Sen. Kamala Harris claims GOP 'abortion survivors' bill would do more harm than good,GOP,neg
26,"Dana Perino on Joe Biden's decision to abandon New Hampshire, head to South Carolina",Biden,neutr
27,"Trump campaign says president is working to expand his base, won't take New Hampshire for granted",Trump,neutr
28,John Sununu doubts Elizabeth Warren can sway undecided voters in New Hampshire,Warren,neg
29,Chris Wallace: Biden is 'mortally wounded' if he has bad result in New Hampshire,Biden,neg
30,Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,pos
31,Republican Bill Weld explains why he is running against President Trump,Republicans,unk
32,"Bloomberg heard in 2015 audio clip defending ‘stop and frisk,’ throwing minority kids against wall: report",Bloomberg,neg
33,Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,Trump,neutr
34,Rep. Mark Meadows says part of the Trump administration is trying to defeat President Trump's agenda,Trump,neg
35,"Martha MacCallum previews New Hampshire primary, breaks down challenge 'stop and frisk' presents for Bloomberg",Bloomberg,neutr
36,Donna Brazile says Mike Bloomberg has more explaining to do over 'stop and frisk' policy,Bloomberg,neg
37,Justin Haskins likens Bernie Sanders' political career to socialism: It doesn't work,Sanders,neg
38,"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",Klobuchar,pos
39,Voters react to President Trump's New Hampshire rally,Trump,pos
