,headline,entity,majority_label
0,Boris Johnson Joins Trump in Redefining Conservatism,Trump,neutr
1,Trump Praises Controversial Hungarian Leader,Trump,neg
2,"Stung by Trump’s Criticisms of Russian Gas Deal, Germany Makes Its Own Threats",Trump,neutr
3,What ‘America First’ Means Under Trump Is Coming Into Focus,Trump,neutr
4,Trump Calls for NATO Expansion Into Middle East,Trump,pos
5,Trump Set to Meet With Russia’s Top Diplomat Tuesday,Trump,neutr
6,"Trump Clashes With Macron on NATO, Trade and Islamic State",Trump,neutr
7,"Donald Trump Won’t Slow Efforts to Fight Climate Change, John Kerry Predicts",Trump,pos
8,Trump to Attend NATO Summit in London,Trump,neutr
9,"Trump-Erdogan Rapport Tested by Tensions Over Syria, Russia",Trump,neutr
10,Trump Says Erdogan Visit to U.S. Is On U.S. Officials Travel to Ankara,Trump,neutr
11,Ukrainian President Denies Trump Pressured Him During July Call,Trump,neutr
12,"In Months Before Trump Call, Ukraine Officials Sweated White House Pressure",Trump,neg
13,Ukraine to Review Investigations Into Firm Linked to Biden’s Son,Biden,neutr
14,"For Trump, Long Odds on Securing New U.N. Action Against Iran",Trump,neutr
15,Taliban Negotiators Meet With Russian Officials After Trump Ends Talks,Trump,neg
16,Trump Administration Turns Over Official’s Name Amid Dispute Over Saudi Role in 9/11 Attacks,Trump,neg
17,"U.S. Sanctions Tighten Putin’s Circle, Extend Kremlin’s Reach",Putin,neutr
18,New York State Sues Trump Administration Over Global Entry Ban,Trump,neutr
19,Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,Trump,pos
20,Trump Says War With Iran Was ‘Closer Than You Thought’,Trump,neg
21,Trump’s Impeachment Is Virtually Over. What Did It Change?,Trump,neutr
22,Fewer Asylum Seekers Have Lawyers Under Trump Administration Policy,Trump,neg
23,Trump Announces Coronavirus Task Force,Trump,neutr
24,Trump Mideast Plan Said to Favor Israeli Goals,Trump,neutr
25,How Putin Outfoxed Trump in Venezuela,Trump,pos
26,"U.S., India Draft Trade Pact for Unveiling in Possible Trump Visit",Trump,pos
27,Ex-Treasury Official Pleads Guilty to Leaks on Trump Campaign Officials,Trump,neutr
28,"Ex-Trump Campaign Official Richard Gates Sentenced to 45 Days in Jail, Three Years Probation",Trump,neg
29,Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,Trump,neutr
30,Trump to Hold Off Designating Mexican Cartels as Terrorist Groups,Trump,neutr
31,"Trump Administration Considers 14,000 More Troops for Mideast",Trump,neutr
32,Trump Administration Asks Supreme Court to Reinstate Blocked Executions,Trump,neutr
33,"A Tight Job Market Insulates a Slowing Economy-and Perhaps Trump, Too",Trump,unk
34,Judges Quietly Disrupt Trump Immigration Policy in San Diego,Trump,neg
35,Trump Jokes Pardoned Turkey Has Already Been Subpoenaed,Trump,neg
36,"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,neg
37,Trump says he will win New Hampshire in a 'landslide' in 2020,Trump,pos
38,"Fox News Poll: Sanders gains among Democrats, Biden still best against Trump",Biden,pos
39,"Fox News Poll: Record economy ratings, as half say Senate should remove Trump",Trump,neutr
40,"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",Sanders,neg
41,Rep. Tim Ryan says Joe Biden does really well in the broader electorate,Biden,pos
42,Bloomberg catching heat from black Democratic lawmakers for stop-and-frisk,Bloomberg,pos
43,"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",Bloomberg,neutr
44,Trump campaign dismisses claim that the president is 'scared' of Bernie Sanders,Trump,neg
45,Guy Benson says the 'total collapse' of Joe Biden's campaign has been fascinating to watch,Biden,neg
46,Elizabeth Warren rips rivals ‘sucking up to billionaires’ as 2020 rancor extends into primary day,Warren,neg
